O,D,cluster,nrOfTrips
1007,2625,6,0
1007,2626,1,0
1007,2626,2,0
1007,2626,3,0
1007,2626,4,0
1007,2626,5,0
1007,2626,6,0
1007,2627,1,3
1007,2627,2,18
1007,2627,3,0
1007,2627,4,17
1007,2627,5,0
1007,2627,6,0
1007,2628,1,27
1007,2628,2,173
1007,2628,3,0
1007,2628,4,162
1007,2628,5,3
1007,2628,6,0
1007,2629,1,2
1007,2629,2,17
1007,2629,3,0
1007,2629,4,16
1007,2629,5,0
1007,2629,6,0
1007,3000,1,1
1007,3000,2,7
1007,3000,3,0
1007,3000,4,7
1007,3000,5,0
1007,3000,6,0
2611,1001,1,333
2611,1001,2,3028
2611,1001,3,0
2611,1001,4,2228
2611,1001,5,89
2611,1001,6,0
2611,1002,1,7
2611,1002,2,69
2611,1002,3,0
2611,1002,4,51
2611,1002,5,2
2611,1002,6,0
2611,1003,1,34
2611,1003,2,314
2611,1003,3,0
2611,1003,4,231
2611,1003,5,9
2611,1003,6,0
2611,1004,1,3
2611,1004,2,36
2611,1004,3,0
2611,1004,4,26
2611,1004,5,1
2611,1004,6,0
2611,1005,1,9
2611,1005,2,89
2611,1005,3,0
2611,1005,4,66
2611,1005,5,2
2611,1005,6,0
2611,1006,1,0
2611,1006,2,0
2611,1006,3,0
2611,1006,4,0
2611,1006,5,0
2611,1006,6,0
2611,1007,1,5
2611,1007,2,47
2611,1007,3,0
2611,1007,4,34
2611,1007,5,1
2611,1007,6,0
2611,2611,1,0
2611,2611,2,0
2611,2611,3,0
2611,2611,4,0
2611,2611,5,0
2611,2611,6,0
2611,2612,1,553
2611,2612,2,5016
2611,2612,3,0
2611,2612,4,3690
2611,2612,5,147
2611,2612,6,0
2611,2613,1,293
2611,2613,2,2658
2611,2613,3,0
2611,2613,4,1955
2611,2613,5,78
2611,2613,6,0
2611,2614,1,110
2611,2614,2,1004
2611,2614,3,0
2611,2614,4,738
2611,2614,5,29
2611,2614,6,0
2611,2616,1,0
